date,day_of_week,meal_session,registered_strength,event_type,actual_attendance,food_prepared_kg,food_consumed_kg,plate_waste_kg,surplus_leftover_kg,economic_loss_inr
2026-05-13,2,Breakfast,800,None,542,259.0,180.8,9.8,68.4,4301.0
2026-05-13,2,Lunch,800,None,682,376.5,325.4,18.7,32.4,2810.5
2026-05-13,2,Snacks,800,None,377,191.8,87.4,5.3,99.1,5742.0
2026-05-13,2,Dinner,800,None,647,325.8,276.2,19.8,29.8,2728.0
2026-05-14,3,Breakfast,800,None,493,267.8,161.3,8.0,98.5,5857.5
2026-05-14,3,Lunch,800,None,647,378.0,299.8,17.1,61.1,4301.0
2026-05-14,3,Snacks,800,None,285,180.8,65.7,3.8,111.3,6330.5
2026-05-14,3,Dinner,800,None,652,342.4,279.1,21.4,41.9,3481.5
2026-05-15,4,Breakfast,800,None,486,255.1,158.8,8.1,88.2,5296.5
2026-05-15,4,Lunch,800,None,667,381.0,313.1,21.0,46.9,3734.5
2026-05-15,4,Snacks,800,None,375,185.2,86.4,6.4,92.4,5434.0
2026-05-15,4,Dinner,800,None,557,337.5,231.8,18.3,87.4,5813.5
2026-05-16,5,Breakfast,800,Holiday/Long Weekend,200,257.2,66.9,4.3,186.0,10466.5
2026-05-16,5,Lunch,800,Holiday/Long Weekend,305,369.0,145.0,8.9,215.1,12320.0
2026-05-16,5,Snacks,800,Holiday/Long Weekend,200,191.0,46.8,2.3,141.9,7931.0
2026-05-16,5,Dinner,800,Holiday/Long Weekend,279,324.0,118.2,7.2,198.6,11319.0
2026-05-17,6,Breakfast,800,None,382,264.2,126.8,6.8,130.6,7557.0
2026-05-17,6,Lunch,800,None,493,377.0,228.1,16.9,132.0,8189.5
2026-05-17,6,Snacks,800,None,266,180.5,62.9,2.6,115.0,6468.0
2026-05-17,6,Dinner,800,None,499,325.8,206.8,14.5,104.5,6545.0
2026-05-18,0,Breakfast,800,None,468,268.8,154.8,11.9,102.1,6270.0
2026-05-18,0,Lunch,800,None,754,381.5,357.5,20.1,3.9,1320.0
2026-05-18,0,Snacks,800,None,385,180.5,90.2,3.8,86.5,4966.5
